cov1,cov2,cov3,cov4,cov5,cov6,cov7,sal_pur_rat,igst_itc_tot_itc_rat,lib_igst_itc_rat,latent_cluster,distance_to_centroid
0.998908467,0.993117635,0.853987303,0.880931911,0.0,0.8219376,0.912059599,-0.030913618,0.588613479,-0.054118944,2,2.450122833251953
1.0,0.991130365,0.010645688,0.01487134,0.0,0.844023417,0.99995922,-0.032508615,2.173316021,-0.054363624,0,1.884658694267273
0.973533491,0.889182309,0.11466078,-0.088693152,0.511112252,0.99949284,0.225327869,-0.031200949,0.051894813,-0.054090418,0,1.9399404525756836
0.459678237,0.993078882,0.6443219,0.221562279,0.944413404,0.750197253,0.257200263,-0.029377605,0.13743556,-0.054355485,2,2.0461158752441406
0.999560777,0.574247325,0.389782616,0.073217302,-0.013804127,0.375478891,0.385341584,-0.032710629,-0.882105651,-0.052135133,1,2.4266650676727295
0.987637368,0.284655649,0.776731663,-0.163130408,0.0,0.510213095,0.546358461,-0.029487907,-0.493566036,-0.053053515,1,1.9430902004241943
0.931183051,0.999998937,0.595928854,0.590789692,0.839027058,0.399217448,0.866697721,-0.030784843,-0.253276193,-0.053777551,0,2.4107770919799805
0.998745792,0.212016737,-0.063190732,0.101605676,0.328125136,0.497049986,0.994447538,-0.032125513,1.445437212,-0.054300499,2,1.7351114749908447
0.999397152,0.878042699,0.657865771,0.631517153,0.0,0.281640044,0.860585818,-0.032075861,0.504179681,-0.054178495,0,2.2527618408203125
0.988201453,0.945245613,-0.035841231,0.107383904,0.0,0.803053919,0.832266473,-0.032914218,1.302920596,-0.054305317,0,1.9773452281951904
0.999720787,0.947687181,0.024628001,0.122664473,0.0,0.081782996,0.637427559,-0.032098879,0.518613992,-0.054181662,1,2.6446852684020996
0.913043969,0.993651695,0.495064107,0.595523543,0.661698078,0.707592406,0.993329791,-0.032279826,1.866162499,-0.054324734,1,2.017974853515625
0.997655314,0.995580885,0.279219683,0.279675468,0.0,0.810224325,0.967949535,-0.032041857,0.515549646,-0.054272751,0,1.871525526046753
0.929091116,0.789990444,0.831712555,0.51622091,0.0,0.598973574,0.842342824,-0.032722083,0.797620246,-0.054264028,2,2.0104851722717285
0.999997167,0.999998285,0.606253677,0.605950182,0.0,0.773038512,0.332828922,-0.028873216,0.115742017,-0.053748529,2,2.5895934104919434
0.999787863,0.631922704,0.462313392,0.331383242,-0.055448144,0.277220359,0.934221781,-0.031986442,0.85688698,-0.054233106,1,2.4169118404388428
0.999714846,0.996291606,0.882861288,0.886912114,0.0,-0.103605893,0.448893983,-0.032763451,0.007011184,-0.054101014,0,1.8603909015655518
1.0,0.999253355,0.828209342,0.820018863,0.0,0.193950217,1.0,-0.032182894,2.177948117,-0.05435186,2,2.126927137374878
1.0,1.0,-0.231188413,-0.231187816,0.0,0.971862804,0.485946222,-0.032750641,0.131196945,-0.054144581,1,2.037256956100464
0.999788776,0.993806772,0.42992421,0.461279206,0.0,0.670733497,0.834341022,-0.032413696,1.630889155,-0.054329952,0,1.789096713066101
0.997549085,0.996530934,-0.143601024,-0.167642033,0.0,0.201178978,0.479151583,-0.032983559,-0.744718754,-0.053259516,0,2.103748083114624
0.972156143,0.350224911,0.83252645,0.424488978,0.0,-0.105096895,0.203568305,-0.028964142,-0.841414809,-0.050513408,1,1.8864939212799072
0.997552634,0.570203309,0.760432922,0.169596285,0.0,0.573157587,0.982716153,-0.030838022,1.471359769,-0.054244157,1,2.2211925983428955
0.999978438,0.99572676,0.047379035,0.034514842,0.0,0.696225452,0.071174568,-0.032489797,-0.599944576,-0.053510694,1,1.8503670692443848
0.999075171,0.998664975,0.221311759,0.216898008,-0.709599332,0.906404925,0.960929314,-0.032578275,1.303368769,-0.054315512,1,1.7411776781082153
0.999974771,0.983792998,0.128616042,0.043345819,0.0,0.989849027,0.116941997,-0.032554381,-1.015480354,-0.045544904,1,1.9957619905471802
0.991288605,0.997914961,0.372624307,0.333478957,0.0,0.99947407,0.19461065,-0.032792973,-0.672732847,-0.053399106,0,2.022822856903076
0.999920145,0.999170767,0.0,0.0,0.0,0.312896209,0.78142191,-0.033279682,-0.802695618,-0.05310023,0,1.7954518795013428
